latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
16361.0,1565.0,12590.0,,,,,,,,,Foothill College,Certificate,Bachelor
17198.0,1334.0,10154.0,,,,,,,,,Fresno City College,Associate,Associate
44249.0,36660.0,36660.0,,,,,,,,21.0,Fresno Pacific University,Bachelor,Graduate
14369.0,1150.0,12379.0,,,,,,,,,Fullerton College,Associate,Associate
15161.0,1508.0,12249.0,,,,,,,,,Gavilan College,Associate,Associate
17501.0,1191.0,10935.0,,,,,,,,,Glendale Community College,Associate,Associate
14618.0,1380.0,11628.0,,,,,,,,,Golden West College,Associate,Associate
14027.0,1332.0,10628.0,,,,,,,,,Grossmont College,Associate,Associate
11892.0,1404.0,10374.0,,,,,,,,,Hartnell College,Associate,Associate
90165.0,68613.0,68613.0,730.0,770.0,770.0,800.0,1545.0,34.0,36.0,35.0,Harvey Mudd College,Bachelor,Bachelor
25170.0,8250.0,20850.0,,,,,,,,,California State Polytechnic University-Humboldt,Bachelor,Graduate
20918.0,13500.0,13500.0,,,,,,,,,Humphreys University-Stockton and Modesto Campuses,Bachelor,Graduate
11998.0,1148.0,8852.0,,,,,,,,,Imperial Valley College,Associate,Associate
13001.0,1156.0,11860.0,,,,,,,,,Irvine Valley College,Associate,Associate
16881.0,1334.0,10154.0,,,,,,,,,Reedley College,Certificate,Associate
35062.0,22118.0,22118.0,,,,,,,,,Life Pacific University,Bachelor,Graduate
62278.0,49470.0,49470.0,498.0,488.0,663.0,573.0,1083.0,18.0,25.0,21.0,University of La Verne,Bachelor,Graduate
57989.0,37500.0,37500.0,,,,,,,,,Laguna College of Art and Design,Bachelor,Graduate
